,id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
186,172503,2016,8,12.24008063,99.966732,Thailand,1,21,0,1,4,ground,,mobile_application,False
187,172501,2016,8,12.31140509,99.96057498,Thailand,1,21,0,1,4,ground,,mobile_application,False
188,172499,2016,8,12.35442369,99.8938279,Thailand,1,21,0,2,4,ground,,mobile_application,False
189,172496,2016,8,12.525376300000001,99.88810009,Thailand,1,15,0,1,1,ground,,mobile_application,False
191,172494,2016,8,12.59860622,99.86422667,Thailand,1,2,0,1,0,ground,,mobile_application,False
192,172493,2016,8,12.60530922,99.86304854,Thailand,1,22,0,1,0,ground,,mobile_application,False
194,172491,2016,8,12.612387599999998,99.86356443,Thailand,1,21,0,1,4,ground,,mobile_application,False
195,172489,2016,8,12.77619204,99.94551835,Thailand,1,3,0,2,1,ground,,mobile_application,False
196,172477,2016,8,13.00894179,99.91879345,Thailand,1,3,0,2,1,ground,,mobile_application,False
197,172476,2016,8,13.0147575,99.92027777,Thailand,1,21,0,2,4,ground,,mobile_application,False
198,172471,2016,8,13.21788748,99.83221003,Thailand,1,3,0,2,1,ground,,mobile_application,False
199,172470,2016,8,13.23449663,99.83369185,Thailand,1,3,0,2,1,ground,,mobile_application,False
200,172469,2016,8,13.24687393,99.83193765,Thailand,1,3,0,2,1,ground,,mobile_application,False
202,172467,2016,8,13.26691534,99.83013274,Thailand,1,3,0,2,1,ground,,mobile_application,False
204,172465,2016,8,13.2717487,99.83026318,Thailand,1,3,0,1,1,ground,,mobile_application,False
205,172461,2016,8,13.35150999,99.85939067,Thailand,1,3,0,2,1,ground,,mobile_application,False
207,172459,2016,8,13.36138842,99.8641025,Thailand,1,20,0,2,4,ground,,mobile_application,False
210,172456,2016,8,13.37767636,99.86376511,Thailand,1,22,0,2,1,ground,,mobile_application,False
212,172451,2016,8,13.42051903,99.81059379999999,Thailand,1,3,0,2,1,ground,,mobile_application,False
213,66518,2016,8,13.67008011,99.76392617,Thailand,1,3,0,2,1,ground,,mobile_application,False
214,66515,2016,8,13.763896300000003,99.70763809,Thailand,1,3,0,2,1,ground,,mobile_application,False
215,66514,2016,8,13.77982602,99.70987932,Thailand,1,3,0,2,1,ground,,mobile_application,False
216,66513,2016,8,13.77936448,99.71157235,Thailand,1,15,0,2,1,ground,,mobile_application,False
217,66512,2016,8,13.8087513,99.72148215,Thailand,1,3,0,2,1,ground,,mobile_application,False
218,66511,2016,8,13.84745304,99.73075741,Thailand,1,3,0,2,0,ground,,mobile_application,False
219,66510,2016,8,13.86301957,99.71660969,Thailand,1,15,0,1,1,ground,,mobile_application,False
220,66509,2016,8,13.89506387,99.73807707,Thailand,1,3,0,2,1,ground,,mobile_application,False
221,66507,2016,8,13.992693,99.75708353,Thailand,1,3,0,2,1,ground,,mobile_application,False
222,66505,2016,8,14.07445127,99.75434577,Thailand,1,15,0,1,1,ground,,mobile_application,False
223,66500,2016,8,14.197762699999998,99.75970257,Thailand,1,15,0,1,1,ground,,mobile_application,False
224,66499,2016,8,14.2116795,99.77577864,Thailand,1,3,0,1,1,ground,,mobile_application,False
225,66497,2016,8,14.23597363,99.80540251,Thailand,1,15,0,1,1,ground,,mobile_application,False
226,66496,2016,8,14.26169312,99.82982812,Thailand,1,15,0,1,1,ground,,mobile_application,False
227,66493,2016,8,14.3565587,99.88555172,Thailand,1,15,0,1,1,ground,,mobile_application,False
228,66487,2016,8,14.55156002,100.07333391,Thailand,1,3,0,2,1,ground,,mobile_application,False
229,66486,2016,8,14.56450822,100.07995917,Thailand,1,21,0,2,4,ground,,mobile_application,False
230,66485,2016,8,14.599515400000001,100.07394698,Thailand,1,3,0,2,1,ground,,mobile_application,False
231,66482,2016,8,14.67394156,100.1422865,Thailand,1,3,0,2,1,ground,,mobile_application,False
232,66480,2016,8,14.68159073,100.11233986,Thailand,1,3,0,2,1,ground,,mobile_application,False
233,66479,2016,8,14.75525526,100.11589559999999,Thailand,1,3,0,2,1,ground,,mobile_application,False
234,66475,2016,8,14.80182992,100.11439573,Thailand,1,3,0,2,1,ground,,mobile_application,False
236,66473,2016,8,14.80548118,100.12006965,Thailand,1,3,0,1,1,ground,,mobile_application,False
237,66472,2016,8,14.87508717,100.09742863,Thailand,1,3,0,2,1,ground,,mobile_application,False
238,66471,2016,8,14.92994462,100.08562453,Thailand,1,3,0,1,1,ground,,mobile_application,False
239,66470,2016,8,15.02059706,100.14070027,Thailand,1,3,0,2,1,ground,,mobile_application,False
240,66469,2016,8,15.06675016,100.16734205,Thailand,1,3,0,2,1,ground,,mobile_application,False
241,66468,2016,8,15.08410045,100.18520213,Thailand,1,3,0,2,1,ground,,mobile_application,False
242,66467,2016,8,15.085393700000001,100.17883555,Thailand,1,3,0,2,1,ground,,mobile_application,False
243,66466,2016,8,15.07354994,100.17416684,Thailand,1,3,0,2,1,ground,,mobile_application,False
244,66463,2014,5,15.58466042,101.34642256,Thailand,1,2,0,1,0,streetview,,,False
245,66462,2015,4,38.11483342,-121.33151767,United States of America,1,21,0,1,0,streetview,,,False
246,66455,2016,8,15.57413107,100.1449912,Thailand,1,15,0,1,1,ground,,mobile_application,False
247,66453,2016,8,15.96593864,100.1285113,Thailand,1,15,0,1,1,ground,,mobile_application,False
249,66451,2016,8,16.05526628,100.12293364,Thailand,1,3,0,1,1,ground,,mobile_application,False
250,66449,2016,8,16.13084765,100.07383577,Thailand,1,3,0,2,0,ground,,mobile_application,False
251,66447,2016,8,16.12543178,100.10013590000001,Thailand,1,3,0,1,1,ground,,mobile_application,False
252,66444,2016,8,16.25409548,100.12675866,Thailand,1,3,0,2,0,ground,,mobile_application,False
253,66443,2016,8,16.32656178,100.12981944,Thailand,1,3,0,1,1,ground,,mobile_application,False
255,66440,2016,8,16.50947031,100.12564984,Thailand,1,3,0,2,0,ground,,mobile_application,False
256,66439,2016,8,16.50488465,100.08573299999999,Thailand,1,3,0,2,0,ground,,mobile_application,False
257,66434,2016,8,16.49047434,99.87095124,Thailand,1,3,0,2,1,ground,,mobile_application,False
