id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
172507,2016,8,12.01762669,99.8208323,Thailand,1,19,0,1,4,ground,,mobile_application,False
172505,2016,8,12.16183179,99.98315265,Thailand,1,20,0,2,4,ground,,mobile_application,False
172503,2016,8,12.24008063,99.966732,Thailand,1,21,0,1,4,ground,,mobile_application,False
172501,2016,8,12.31140509,99.96057498,Thailand,1,21,0,1,4,ground,,mobile_application,False
172499,2016,8,12.35442369,99.8938279,Thailand,1,21,0,2,4,ground,,mobile_application,False
172496,2016,8,12.5253763,99.88810009,Thailand,1,15,0,1,1,ground,,mobile_application,False
172495,2016,8,12.54457846,99.87653276,Thailand,1,15,0,1,1,ground,,mobile_application,False
172494,2016,8,12.59860622,99.86422667,Thailand,1,2,0,1,0,ground,,mobile_application,False
172493,2016,8,12.60530922,99.86304854,Thailand,1,22,0,1,0,ground,,mobile_application,False
172492,2016,8,12.60997637,99.86727226,Thailand,1,21,0,1,4,ground,,mobile_application,False
172491,2016,8,12.6123876,99.86356443,Thailand,1,21,0,1,4,ground,,mobile_application,False
172489,2016,8,12.77619204,99.94551835,Thailand,1,3,0,2,1,ground,,mobile_application,False
172477,2016,8,13.00894179,99.91879345,Thailand,1,3,0,2,1,ground,,mobile_application,False
172476,2016,8,13.0147575,99.92027777,Thailand,1,21,0,2,4,ground,,mobile_application,False
172471,2016,8,13.21788748,99.83221003,Thailand,1,3,0,2,1,ground,,mobile_application,False
172470,2016,8,13.23449663,99.83369185,Thailand,1,3,0,2,1,ground,,mobile_application,False
172469,2016,8,13.24687393,99.83193765,Thailand,1,3,0,2,1,ground,,mobile_application,False
172468,2016,8,13.24657863,99.83208794,Thailand,1,3,0,2,1,ground,,mobile_application,False
172467,2016,8,13.26691534,99.83013274,Thailand,1,3,0,2,1,ground,,mobile_application,False
172466,2016,8,13.26669571,99.83025704,Thailand,1,3,0,1,1,ground,,mobile_application,False
172465,2016,8,13.2717487,99.83026318,Thailand,1,3,0,1,1,ground,,mobile_application,False
172461,2016,8,13.35150999,99.85939067,Thailand,1,3,0,2,1,ground,,mobile_application,False
172460,2016,8,13.35131274,99.85952338,Thailand,1,22,0,2,1,ground,,mobile_application,False
172459,2016,8,13.36138842,99.8641025,Thailand,1,20,0,2,4,ground,,mobile_application,False
172458,2016,8,13.3675402,99.86367257,Thailand,1,3,0,2,1,ground,,mobile_application,False
172457,2016,8,13.36779895,99.863445,Thailand,1,3,0,2,1,ground,,mobile_application,False
172456,2016,8,13.37767636,99.86376511,Thailand,1,22,0,2,1,ground,,mobile_application,False
172455,2016,8,13.37792514,99.86358018,Thailand,1,3,0,2,1,ground,,mobile_application,False
172451,2016,8,13.42051903,99.8105938,Thailand,1,3,0,2,1,ground,,mobile_application,False
66518,2016,8,13.67008011,99.76392617,Thailand,1,3,0,2,1,ground,,mobile_application,False
66515,2016,8,13.7638963,99.70763809,Thailand,1,3,0,2,1,ground,,mobile_application,False
66514,2016,8,13.77982602,99.70987932,Thailand,1,3,0,2,1,ground,,mobile_application,False
66513,2016,8,13.77936448,99.71157235,Thailand,1,15,0,2,1,ground,,mobile_application,False
66512,2016,8,13.8087513,99.72148215,Thailand,1,3,0,2,1,ground,,mobile_application,False
66511,2016,8,13.84745304,99.73075741,Thailand,1,3,0,2,0,ground,,mobile_application,False
66510,2016,8,13.86301957,99.71660969,Thailand,1,15,0,1,1,ground,,mobile_application,False
66509,2016,8,13.89506387,99.73807707,Thailand,1,3,0,2,1,ground,,mobile_application,False
66507,2016,8,13.992693,99.75708353,Thailand,1,3,0,2,1,ground,,mobile_application,False
66505,2016,8,14.07445127,99.75434577,Thailand,1,15,0,1,1,ground,,mobile_application,False
66500,2016,8,14.1977627,99.75970257,Thailand,1,15,0,1,1,ground,,mobile_application,False
66499,2016,8,14.2116795,99.77577864,Thailand,1,3,0,1,1,ground,,mobile_application,False
66497,2016,8,14.23597363,99.80540251,Thailand,1,15,0,1,1,ground,,mobile_application,False
66496,2016,8,14.26169312,99.82982812,Thailand,1,15,0,1,1,ground,,mobile_application,False
66493,2016,8,14.3565587,99.88555172,Thailand,1,15,0,1,1,ground,,mobile_application,False
66487,2016,8,14.55156002,100.07333391,Thailand,1,3,0,2,1,ground,,mobile_application,False
