,model_type,split_percent,augmentations,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
43,simclr_finetune_ex,3,"flip,brightness",0.4602256417274475,4719.0,1428.0,4062.0,767.0,0.8000182509422302,0.7676915526390076,0.8601895570755005,0.8705064654350281,0.8113126354183972,0.796231713330454
44,simclr_finetune_ex,3,"flip,contrast",0.4319755733013153,4659.0,1294.0,4192.0,831.0,0.8063957691192627,0.7826306223869324,0.848633885383606,0.878681480884552,0.8142969613237452,0.8034605785420934
45,simclr_finetune_ex,3,"flip,gain",0.4676147997379303,4705.0,1463.0,4026.0,782.0,0.7954628467559814,0.7628080248832703,0.8574813008308411,0.8604462146759033,0.8073787898008055,0.7919541992147889
46,simclr_finetune_ex,3,"flip,zoom",0.5668713450431824,4342.0,1328.0,4158.0,1148.0,0.7744169235229492,0.7657848596572876,0.7908925414085388,0.8537518978118896,0.7781362193757735,0.7739750661334943
47,simclr_finetune_ex,3,"rotation,blur",0.45619723200798035,4061.0,870.0,4614.0,1431.0,0.7903608083724976,0.8235651850700378,0.7394391894340515,0.8774856925010681,0.7792382194547723,0.793474006180663
48,simclr_finetune_ex,3,"rotation,brightness",0.5082331895828247,4420.0,1334.0,4151.0,1071.0,0.7808855772018433,0.7681612968444824,0.8049535751342773,0.8551608324050903,0.786127183956974,0.7800459018646879
49,simclr_finetune_ex,3,"rotation,contrast",0.44668859243392944,4540.0,1242.0,4246.0,948.0,0.8004737496376038,0.7851954102516174,0.8272594809532166,0.8764903545379639,0.8056787834185506,0.7987332717440592
50,simclr_finetune_ex,3,"rotation,flip",0.6724161505699158,4388.0,1309.0,4178.0,1101.0,0.780430018901825,0.7702299356460571,0.7994170188903809,0.8478223085403442,0.78455211502786,0.7797192383838187
51,simclr_finetune_ex,3,"rotation,gain",0.4587435722351074,4445.0,1159.0,4330.0,1042.0,0.7994715571403503,0.793183445930481,0.8100966215133667,0.8754510879516602,0.8015508242587408,0.7987421516857177
52,simclr_finetune_ex,3,"rotation,shift",0.464875727891922,4842.0,1592.0,3896.0,646.0,0.7961005568504333,0.7525644898414612,0.8822886347770691,0.8691760301589966,0.8122798144070029,0.7913488708121328
53,simclr_finetune_ex,3,"rotation,zoom",0.44436001777648926,4641.0,1341.0,4147.0,847.0,0.8006559610366821,0.7758274674415588,0.8456632494926453,0.8710776567459106,0.8092414841606528,0.7977882038458474
54,simclr_finetune_ex,3,"shift,blur",0.4447309672832489,4762.0,1398.0,4092.0,724.0,0.8066691160202026,0.7730519771575928,0.8680276870727539,0.8730615377426147,0.8177915238914774,0.8023138420569683
55,simclr_finetune_ex,3,"shift,brightness",0.45447254180908203,4305.0,1105.0,4377.0,1189.0,0.7909985184669495,0.7957485914230347,0.7835820913314819,0.8716625571250916,0.7896184785745235,0.7916513283261579
56,simclr_finetune_ex,3,"shift,contrast",0.450033962726593,4648.0,1326.0,4163.0,839.0,0.8027514815330505,0.7780381441116333,0.8470931053161621,0.876755952835083,0.8110984854694097,0.7997705543413824
57,simclr_finetune_ex,3,"shift,flip",0.4595469832420349,4139.0,1034.0,4454.0,1349.0,0.7828899621963501,0.8001160025596619,0.754190981388092,0.8661395311355591,0.7764750199630737,0.784198577069569
58,simclr_finetune_ex,3,"shift,gain",0.5263577699661255,4446.0,1284.0,4200.0,1046.0,0.787718653678894,0.7759162187576294,0.8095411658287048,0.8612116575241089,0.7923721273433537,0.786809812736128
59,simclr_finetune_ex,3,"shift,zoom",0.4503767192363739,4766.0,1446.0,4043.0,721.0,0.8025692701339722,0.7672247290611267,0.8685985207557678,0.8706957697868347,0.8147705014271364,0.7982803926001941
60,simclr_finetune_ex,3,"speckle,blur",0.46509626507759094,4192.0,1087.0,4404.0,1293.0,0.7831632494926453,0.7940897941589355,0.7642661929130554,0.8659141063690186,0.7788926135590672,0.7838932940227956
61,simclr_finetune_ex,3,"speckle,brightness",0.467477947473526,4469.0,1267.0,4220.0,1020.0,0.7916362881660461,0.7791143655776978,0.8141738176345825,0.858788013458252,0.7962583593853529,0.7904604731121855
62,simclr_finetune_ex,3,"speckle,contrast",0.47290894389152527,4109.0,1000.0,4486.0,1381.0,0.7830721735954285,0.8042669892311096,0.7484517097473145,0.8660483956336975,0.7753561589480329,0.7847593566745173
63,simclr_finetune_ex,3,"speckle,flip",0.4523967206478119,4708.0,1485.0,4004.0,779.0,0.7937317490577698,0.7602131366729736,0.8580280542373657,0.8681578040122986,0.8061643741724984,0.7902422562611384
64,simclr_finetune_ex,3,"speckle,gain",0.45988500118255615,4569.0,1308.0,4184.0,915.0,0.7974671721458435,0.7774374485015869,0.8331509828567505,0.8774568438529968,0.8043305933626573,0.7951618375031843
65,simclr_finetune_ex,3,"speckle,rotation",0.4494130313396454,4660.0,1370.0,4121.0,825.0,0.8000182509422302,0.7728026509284973,0.8495897650718689,0.874528706073761,0.8093790579567297,0.7968081983072438
66,simclr_finetune_ex,3,"speckle,shift",0.46815311908721924,4917.0,1700.0,3788.0,571.0,0.7930940389633179,0.7430859804153442,0.8959547877311707,0.8643757700920105,0.8123915582672375,0.7878965787202693
67,simclr_finetune_ex,3,"speckle,zoom",0.4507499635219574,4890.0,1604.0,3888.0,594.0,0.7997449040412903,0.7530027627944946,0.891684889793396,0.8696646690368652,0.8164969007945422,0.7941749577443528
68,simclr_finetune_ex,3,"zoom,blur",0.4647700786590576,4746.0,1430.0,4057.0,743.0,0.8020225763320923,0.7684585452079773,0.8646383881568909,0.8755506873130798,0.8137162520108231,0.7980494396290178
69,simclr_finetune_ex,3,"zoom,brightness",0.4738976061344147,4571.0,1341.0,4150.0,914.0,0.7945517301559448,0.7731732130050659,0.8333637118339539,0.8604323267936707,0.8021409140596634,0.7922468099673452
70,simclr_finetune_ex,3,"zoom,contrast",0.64490807056427,4287.0,1466.0,4020.0,1203.0,0.7568330764770508,0.7451764345169067,0.7808743119239807,0.8386382460594177,0.7626078450175505,0.7567074623279617
71,simclr_finetune_ex,3,"zoom,gain",0.4431127905845642,4560.0,1244.0,4243.0,929.0,0.8020225763320923,0.7856650352478027,0.830752432346344,0.8759947419166565,0.8075799131434129,0.8001403650692093
